Target_Ticker,Candidate_Ticker,Candidate_Name,Distance
PCLA,PCSA,"Processa Pharmaceuticals, Inc. - Common Stock",1
PCLA,POLA,"Polar Power, Inc. - Common Stock",1
PCLA,PVLA,"Palvella Therapeutics, Inc. - Common Stock",1
NVDA,IVDA,"Iveda Solutions, Inc. - Common Stock",1
NVDA,VNDA,Vanda Pharmaceuticals Inc. - Common Stock,1
SIDU,BIDU,"Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",1
SIDU,FIDU,Fidelity MSCI Industrials Index ETF,1
SIDU,IDU,iShares U.S. Utilities ETF,1
SIDU,MIDU,Direxion Mid Cap Bull 3X Shares,1
SIDU,SID,Companhia Siderurgica Nacional S.A. Common Stock,1
DVLT,CVLT,"Commvault Systems, Inc. - Common Stock",1
DVLT,VLT,Invesco High Income Trust II,1
BBAI,BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",1
BBAI,BBSI,"Barrett Business Services, Inc. - Common Stock",1
BBAI,BNAI,Brand Engagement Network Inc. - Common Stock,1
BBAI,BTAI,"BioXcel Therapeutics, Inc. - Common Stock",1
BBAI,BZAI,"Blaize Holdings, Inc. - Common Stock",1
BBAI,MBAI,Check-Cap Ltd. - Ordinary Share,1
BBAI,ZBAI,ATIF Holdings Limited - Ordinary Shares,1
BBAI,BAI,iShares A.I. Innovation and Tech Active ETF,1
BBAI,BBAR,Banco BBVA Argentina S.A. ADS,1
BBAI,BBWI,"Bath & Body Works, Inc.",1
PLUG,PLUR,Pluri Inc. - Common Stock,1
PLUG,PLUS,ePlus inc. - Common Stock,1
PLUG,PAUG,Innovator U.S. Equity Power Buffer ETF - August,1
PLUG,PLAG,Planet Green Holdings Corp. Common Stock,1
BYND,BAND,Bandwidth Inc. - Class A Common Stock,1
BYND,BND,Vanguard Total Bond Market ETF,1
BYND,BLND,"Blend Labs, Inc. Class A Common Stock",1
BYND,BOND,PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund,1
BYND,BYD,Boyd Gaming Corporation Common Stock,1
BYND,MYND,"Mynd.ai, Inc. American Depositary Shares",1
TSLA,ESLA,"Estrella Immunopharma, Inc. - Common Stock",1
TSLA,TBLA,Taboola.com Ltd. - Ordinary Shares,1
TSLA,TELA,"TELA Bio, Inc. - Common stock",1
TSLA,TLSA,Tiziana Life Sciences Ltd - Common Shares,1
TSLA,TSHA,"Taysha Gene Therapies, Inc. - Common Stock",1
TSLA,STLA,Stellantis N.V. Common Shares,1
TSLA,TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",1
TSLL,TSLA,"Tesla, Inc.  - Common Stock",1
TSLL,TBLL,Invesco Short Term Treasury ETF,1
TSLL,TILL,Teucrium Agricultural Strategy No K-1 ETF,1
TSLL,TOLL,Tema Monopolies and Oligopolies ETF,1
TSLL,TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",1
ONDS,ODDS,Pacer BlueStar Digital Entertainment ETF,1
ONDS,BNDS,Infrastructure Capital Bond Income ETF,1
ONDS,INDS,Pacer Industrial Real Estate ETF,1
IVP,IEP,Icahn Enterprises L.P. - Depositary Units representing Limited Partner Interests,1
IVP,IVF,"INVO Fertility, Inc. - Common Stock",1
IVP,DIVP,Cullen Enhanced Equity Income ETF,1
IVP,IBP,"Installed Building Products, Inc. Common Stock",1
IVP,IP,International Paper Company Common Stock,1
IVP,ITP,"IT Tech Packaging, Inc. Common Stock",1
IVP,IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,1
IVP,IVZ,Invesco Ltd Common Stock,1
IVP,IWP,iShares Russell Midcap Growth ETF,1
IVP,IXP,iShares Global Comm Services ETF,1
IVP,RVP,"Retractable Technologies, Inc. Common Stock",1
INTC,BNTC,Benitec Biopharma Inc. - Common Stock,1
INTC,INTA,"Intapp, Inc. - Common Stock",1
INTC,INTG,The Intergroup Corporation - Common Stock,1
INTC,INTS,"Intensity Therapeutics, Inc. - Common Stock",1
INTC,INTU,Intuit Inc. - Common Stock,1
INTC,INTZ,Intrusion Inc. - Common Stock,1
INTC,IRTC,"iRhythm Technologies, Inc. - Common Stock",1
INTC,IETC,iShares U.S. Tech Independence Focused ETF,1
INTC,INTT,inTest Corporation Common Stock,1
VMAR,MAR,Marriott International - Class A Common Stock,1
VMAR,VRAR,"The Glimpse Group, Inc. - Common Stock",1
VMAR,BMAR,Innovator U.S. Equity Buffer ETF - March,1
VMAR,DMAR,FT Vest U.S. Equity Deep Buffer ETF - March,1
VMAR,FMAR,FT Vest U.S. Equity Buffer ETF - March,1
VMAR,GMAR,FT Vest U.S. Equity Moderate Buffer ETF - March,1
VMAR,IMAR,Innovator International Developed Power Buffer ETF  March,1
VMAR,KMAR,Innovator U.S. Small Cap Power Buffer ETF - March,1
VMAR,NMAR,Innovator Growth-100 Power Buffer ETF - March,1
VMAR,PMAR,Innovator U.S. Equity Power Buffer ETF - March,1
VMAR,QMAR,FT Vest Nasdaq-100 Buffer ETF - March,1
VMAR,TMAR,FT Vest Emerging Markets Buffer ETF - March,1
VMAR,UMAR,Innovator U.S. Equity Ultra Buffer ETF - March,1
VMAR,XMAR,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - March,1
VMAR,YMAR,FT Vest International Equity Moderate Buffer ETF - March,1
VMAR,ZMAR,Innovator Equity Defined Protection ETF - 1 Yr March,1
WBD,WRD,WeRide Inc. - American Depositary Shares,1
WBD,WWD,"Woodward, Inc. - Common Stock",1
WBD,BBD,Banco Bradesco Sa American Depositary Shares,1
WBD,DBD,Diebold Nixdorf Incorporated Common stock,1
WBD,IBD,Inspire Corporate Bond ETF,1
WBD,PBD,Invesco Global Clean Energy ETF,1
WBD,WBS,Webster Financial Corporation Common Stock,1
WBD,WD,"Walker & Dunlop, Inc Common Stock",1
WBD,WHD,"Cactus, Inc. Class A Common Stock",1
WOK,AOK,iShares Core 30/70 Conservative Allocation ETF,1
WOK,NOK,Nokia Corporation Sponsored American Depositary Shares,1
WOK,ROK,"Rockwell Automation, Inc. Common Stock",1
WOK,TOK,iShares MSCI Kokusai ETF,1
WOK,WK,Workiva Inc. Class A Common Stock,1
WOK,WLK,Westlake Corporation Common Stock,1
WOK,WMK,"Weis Markets, Inc. Common Stock",1
WOK,WOW,"WideOpenWest, Inc. Common Stock",1
AAPL,AAL,"American Airlines Group, Inc. - Common Stock",1
AAPL,AMPL,"Amplitude, Inc. - Class A Common Stock",1
AAPL,AAP,Advance Auto Parts Inc.,1
AAPL,CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,1
AAPL,PAPL,Pineapple Financial Inc. Common Stock,1
FOLD,BOLD,"Boundless Bio, Inc. - Common Stock",1
FOLD,COLD,"Americold Realty Trust, Inc. Common Stock",1
FOLD,FCLD,Fidelity Cloud Computing ETF,1
FOLD,FYLD,Cambria Foreign Shareholder Yield ETF,1
FOLD,GOLD,"Gold.com, Inc. Common Stock",1
FOLD,HOLD,Harbor Alpha Layering ETF,1
FOLD,KOLD,ProShares UltraShort Bloomberg Natural Gas,1
TQQQ,GQQQ,Astoria US Quality Growth Kings ETF,1
TQQQ,IQQQ,ProShares Nasdaq-100 High Income ETF,1
TQQQ,KQQQ,Kurv Technology Titans Select ETF,1
TQQQ,MQQQ,Tradr 2X Long Innovation 100 Monthly ETF,1
TQQQ,QQQ,"Invesco QQQ Trust, Series 1",1
TQQQ,SQQQ,ProShares UltraPro Short QQQ,1
TQQQ,YQQQ,YieldMax Short N100 Option Income Strategy ETF,1
TQQQ,CQQQ,Invesco China Technology ETF,1
ASST,AMST,Amesite Inc. - Common Stock,1
ASST,AQST,"Aquestive Therapeutics, Inc. - Common Stock",1
ASST,ASRT,"Assertio Holdings, Inc. - Common Stock",1
ASST,ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",1
ASST,AUST,Austin Gold Corp. Common Shares,1
ASST,GSST,Goldman Sachs Ultra Short Bond ETF,1
ASST,MSST,YieldMax MSTR Performance & Distribution Target 25 ETF,1
ASST,RSST,Return Stacked U.S. Stocks & Managed Futures ETF,1
ASST,SST,"System1, Inc. Class A Common Stock",1
AVGO,ANGO,"AngioDynamics, Inc. - Common Stock",1
AVGO,AUGO,Aura Minerals Inc. - Common Shares,1
AVGO,AVO,"Mission Produce, Inc. - Common Stock",1
AVGO,EVGO,EVgo Inc. - Common Stock,1
AVGO,AGO,Assured Guaranty Ltd. Common Stock,1
AAL,AAPL,Apple Inc. - Common Stock,1
AAL,ABL,"Abacus Global Management, Inc. - Class A Common Stock",1
AAL,AMAL,Amalgamated Financial Corp. - Common Stock,1
AAL,ANL,Adlai Nortye Ltd. - American Depositary Shares,1
AAL,AVL,Direxion Daily AVGO Bull 2X Shares,1
AAL,PAL,"Proficient Auto Logistics, Inc. - Common Stock",1
