Target_Ticker,Target_Name,Candidate_Ticker,Candidate_Name,Distance,Keyboard_Proximate
PCLA,PicoCELA Inc. - American Depositary Shares,PCSA,"Processa Pharmaceuticals, Inc. - Common Stock",1,False
PCLA,PicoCELA Inc. - American Depositary Shares,POLA,"Polar Power, Inc. - Common Stock",1,False
PCLA,PicoCELA Inc. - American Depositary Shares,PVLA,"Palvella Therapeutics, Inc. - Common Stock",1,True
NVDA,NVIDIA Corporation - Common Stock,IVDA,"Iveda Solutions, Inc. - Common Stock",1,False
NVDA,NVIDIA Corporation - Common Stock,VNDA,Vanda Pharmaceuticals Inc. - Common Stock,1,False
SIDU,"Sidus Space, Inc. - Class A Common Stock",BIDU,"Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",1,False
SIDU,"Sidus Space, Inc. - Class A Common Stock",FIDU,Fidelity MSCI Industrials Index ETF,1,False
SIDU,"Sidus Space, Inc. - Class A Common Stock",IDU,iShares U.S. Utilities ETF,1,False
SIDU,"Sidus Space, Inc. - Class A Common Stock",MIDU,Direxion Mid Cap Bull 3X Shares,1,False
SIDU,"Sidus Space, Inc. - Class A Common Stock",SID,Companhia Siderurgica Nacional S.A. Common Stock,1,False
DVLT,Datavault AI Inc. - Common Stock,CVLT,"Commvault Systems, Inc. - Common Stock",1,True
DVLT,Datavault AI Inc. - Common Stock,VLT,Invesco High Income Trust II,1,False
BBAI,"BigBear.ai, Inc. Common Stock",BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",1,False
BBAI,"BigBear.ai, Inc. Common Stock",BBSI,"Barrett Business Services, Inc. - Common Stock",1,True
BBAI,"BigBear.ai, Inc. Common Stock",BNAI,Brand Engagement Network Inc. - Common Stock,1,True
BBAI,"BigBear.ai, Inc. Common Stock",BTAI,"BioXcel Therapeutics, Inc. - Common Stock",1,False
BBAI,"BigBear.ai, Inc. Common Stock",BZAI,"Blaize Holdings, Inc. - Common Stock",1,False
BBAI,"BigBear.ai, Inc. Common Stock",MBAI,Check-Cap Ltd. - Ordinary Share,1,False
BBAI,"BigBear.ai, Inc. Common Stock",ZBAI,ATIF Holdings Limited - Ordinary Shares,1,False
BBAI,"BigBear.ai, Inc. Common Stock",BAI,iShares A.I. Innovation and Tech Active ETF,1,False
BBAI,"BigBear.ai, Inc. Common Stock",BBAR,Banco BBVA Argentina S.A. ADS,1,False
BBAI,"BigBear.ai, Inc. Common Stock",BBWI,"Bath & Body Works, Inc.",1,True
PLUG,"Plug Power, Inc. - Common Stock",PLUR,Pluri Inc. - Common Stock,1,False
PLUG,"Plug Power, Inc. - Common Stock",PLUS,ePlus inc. - Common Stock,1,False
PLUG,"Plug Power, Inc. - Common Stock",PAUG,Innovator U.S. Equity Power Buffer ETF - August,1,False
PLUG,"Plug Power, Inc. - Common Stock",PLAG,Planet Green Holdings Corp. Common Stock,1,False
BYND,"Beyond Meat, Inc. - Common stock",BAND,Bandwidth Inc. - Class A Common Stock,1,False
BYND,"Beyond Meat, Inc. - Common stock",BND,Vanguard Total Bond Market ETF,1,False
BYND,"Beyond Meat, Inc. - Common stock",BLND,"Blend Labs, Inc. Class A Common Stock",1,False
BYND,"Beyond Meat, Inc. - Common stock",BOND,PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund,1,False
BYND,"Beyond Meat, Inc. - Common stock",BYD,Boyd Gaming Corporation Common Stock,1,False
BYND,"Beyond Meat, Inc. - Common stock",MYND,"Mynd.ai, Inc. American Depositary Shares",1,False
TSLA,"Tesla, Inc.  - Common Stock",ESLA,"Estrella Immunopharma, Inc. - Common Stock",1,False
TSLA,"Tesla, Inc.  - Common Stock",TBLA,Taboola.com Ltd. - Ordinary Shares,1,False
TSLA,"Tesla, Inc.  - Common Stock",TELA,"TELA Bio, Inc. - Common stock",1,True
TSLA,"Tesla, Inc.  - Common Stock",TLSA,Tiziana Life Sciences Ltd - Common Shares,1,False
TSLA,"Tesla, Inc.  - Common Stock",TSHA,"Taysha Gene Therapies, Inc. - Common Stock",1,False
TSLA,"Tesla, Inc.  - Common Stock",STLA,Stellantis N.V. Common Shares,1,False
TSLA,"Tesla, Inc.  - Common Stock",TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",1,False
TSLL,Direxion Daily TSLA Bull 2X Shares,TSLA,"Tesla, Inc.  - Common Stock",1,False
TSLL,Direxion Daily TSLA Bull 2X Shares,TBLL,Invesco Short Term Treasury ETF,1,False
TSLL,Direxion Daily TSLA Bull 2X Shares,TILL,Teucrium Agricultural Strategy No K-1 ETF,1,False
TSLL,Direxion Daily TSLA Bull 2X Shares,TOLL,Tema Monopolies and Oligopolies ETF,1,False
TSLL,Direxion Daily TSLA Bull 2X Shares,TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IEP,Icahn Enterprises L.P. - Depositary Units representing Limited Partner Interests,1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IVF,"INVO Fertility, Inc. - Common Stock",1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",DIVP,Cullen Enhanced Equity Income ETF,1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IBP,"Installed Building Products, Inc. Common Stock",1,True
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IP,International Paper Company Common Stock,1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",ITP,"IT Tech Packaging, Inc. Common Stock",1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IVZ,Invesco Ltd Common Stock,1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IWP,iShares Russell Midcap Growth ETF,1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IXP,iShares Global Comm Services ETF,1,False
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",RVP,"Retractable Technologies, Inc. Common Stock",1,False
ONDS,Ondas Holdings Inc. - Common Stock,ODDS,Pacer BlueStar Digital Entertainment ETF,1,False
ONDS,Ondas Holdings Inc. - Common Stock,BNDS,Infrastructure Capital Bond Income ETF,1,False
ONDS,Ondas Holdings Inc. - Common Stock,INDS,Pacer Industrial Real Estate ETF,1,True
INTC,Intel Corporation - Common Stock,BNTC,Benitec Biopharma Inc. - Common Stock,1,False
INTC,Intel Corporation - Common Stock,INTA,"Intapp, Inc. - Common Stock",1,False
INTC,Intel Corporation - Common Stock,INTG,The Intergroup Corporation - Common Stock,1,False
INTC,Intel Corporation - Common Stock,INTS,"Intensity Therapeutics, Inc. - Common Stock",1,False
INTC,Intel Corporation - Common Stock,INTU,Intuit Inc. - Common Stock,1,False
INTC,Intel Corporation - Common Stock,INTZ,Intrusion Inc. - Common Stock,1,False
INTC,Intel Corporation - Common Stock,IRTC,"iRhythm Technologies, Inc. - Common Stock",1,False
INTC,Intel Corporation - Common Stock,IETC,iShares U.S. Tech Independence Focused ETF,1,False
INTC,Intel Corporation - Common Stock,INTT,inTest Corporation Common Stock,1,False
VMAR,Vision Marine Technologies Inc. - Common Shares,MAR,Marriott International - Class A Common Stock,1,False
VMAR,Vision Marine Technologies Inc. - Common Shares,VRAR,"The Glimpse Group, Inc. - Common Stock",1,False
VMAR,Vision Marine Technologies Inc. - Common Shares,BMAR,Innovator U.S. Equity Buffer ETF - March,1,True
VMAR,Vision Marine Technologies Inc. - Common Shares,DMAR,FT Vest U.S. Equity Deep Buffer ETF - March,1,False
VMAR,Vision Marine Technologies Inc. - Common Shares,FMAR,FT Vest U.S. Equity Buffer ETF - March,1,True
VMAR,Vision Marine Technologies Inc. - Common Shares,GMAR,FT Vest U.S. Equity Moderate Buffer ETF - March,1,True
VMAR,Vision Marine Technologies Inc. - Common Shares,IMAR,Innovator International Developed Power Buffer ETF  March,1,False
VMAR,Vision Marine Technologies Inc. - Common Shares,KMAR,Innovator U.S. Small Cap Power Buffer ETF - March,1,False
VMAR,Vision Marine Technologies Inc. - Common Shares,NMAR,Innovator Growth-100 Power Buffer ETF - March,1,False
