IPO_Ticker,IPO_Name,Typo_Ticker,Typo_Name,Distance,Keyboard_Proximate,IPO_Date,Date,Data_Source,Typo_Open,Typo_High,Typo_Close,Typo_Volume,Avg_Volume_5d,Volume_Spike_Ratio,Gap_Up_Pct,Intraday_High_Pct,Reversion_From_High_Pct,Day_Return
BPACU,BLUEPORT ACQUISITION LTD,NPACU,New Providence Acquisition Corp. III - Units,1,True,11/12/2025,2025-11-12,yfinance,10.597999572753906,10.597999572753906,10.43000030517578,12400,20.0,620.0,0.0141626570516824,0.0,-0.015851979085754,-0.0019138281774535
YIBO,PLANET IMAGE INTERNATIONAL LTD,GIBO,GIBO Holdings Limited - Class A Ordinary Shares,1,True,1/25/2024,2024-01-25,yfinance,2088.0,2088.60009765625,2088.0,751,21.2,35.424528301886795,0.0009587727708533,0.0002874030920737,-0.0002873205152692,0.0009587727708533
CV,"CAPSOVISION, INC",XV,Simplify Target 15 Distribution ETF,1,True,7/02/2025,2025-07-02,yfinance,23.68126628264646,23.947446937396023,23.592538833618164,124400,12760.0,9.74921630094044,0.0067898357701758,0.0112401360456225,-0.0148202898081648,0.003017660212952
HDL,SUPER HI INTERNATIONAL HOLDING LTD.,BDL,"Flanigan's Enterprises, Inc. Common Stock",1,True,5/17/2024,2024-05-17,yfinance,26.04955025173518,28.133514124657477,27.458154678344727,6100,1000.0,6.1,-0.00405760631074,0.0799999943485965,-0.0240055132579699,0.0497970226882904
CEPF,"CANTOR EQUITY PARTNERS IV, INC.",CSPF,Cohen & Steers Preferred and Income Opportunities Active ETF,1,True,8/21/2025,2025-08-21,yfinance,25.174780712899704,25.27950062955658,25.256011962890625,43900,9300.0,4.720430107526882,-0.0026367902016468,0.0041597151471201,-0.000929158649538,0.0005813931521951
COSO,"COASTALSOUTH BANCSHARES, INC.",CPSO,Calamos S&P 500 Structured Alt Protection ETF - October,1,True,7/02/2025,2025-07-02,yfinance,26.239999771118164,26.239999771118164,26.239999771118164,1100,280.0,3.928571428571429,0.0007627939850282,0.0,0.0,0.0007627939850282
ANDG,ANDERSEN GROUP INC.,AMDG,Leverage Shares 2X Long AMD Daily ETF,1,True,12/17/2025,2025-12-17,yfinance,28.6299991607666,28.88999938964844,25.36000061035156,186900,50820.0,3.677685950413223,0.0078856235427224,0.0090813914251918,-0.1221875684968587,-0.1072308495476879
FGL,FOUNDER GROUP LTD,TGL,Treasure Global Inc. - Common Stock,1,True,10/23/2024,2024-10-23,yfinance,694.0,710.0,677.0,656,192.6,3.406022845275182,-0.0361111111111111,0.0230547550432276,-0.0464788732394366,-0.0597222222222222
MMA,MIXED MARTIAL ARTS GROUP LTD,MNA,NYLI Merger Arbitrage ETF,1,True,3/28/2024,2024-03-28,yfinance,31.450000762939453,31.510000228881836,31.479999542236328,125300,37360.0,3.3538543897216275,-0.0003178106110669,0.0019077731156396,-0.0009521004896093,0.0006357424776132
ZBIO,"ZENAS BIOPHARMA, INC.",SBIO,ALPS Medical Breakthroughs ETF,1,True,9/13/2024,2024-09-13,yfinance,35.853428887121005,36.70340347290039,36.70340347290039,11400,3460.0,3.2947976878612715,0.0085859427068551,0.0237069260085388,0.0,0.0324964150238588
